years,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
men,22997,24198,28598,29342,31222,27409,26019,25304,24679,24319,24516,23725,24405,25563,26039,27474,27639,28636,28042,27710,28248,28976,29488,29096,29655,29130,29924,30429,30643,29926,42081,40261
women,19822,20461,22660,23467,23699,23419,22223,21658,21620,21976,22185,21559,22117,23438,23529,24488,24609,25019,24668,24804,25332,24786,25529,25287,25993,25567,26724,26680,26607,25990,33566,36617
